name	description	median_diff
Hs~MGC:BC012885.1~uORF:IOH10554	Plexin domain-containing protein 2	6117.5
Hs~MGC:BC018929.1~uORF:IOH22929	pleckstrin homology-like domain, family A, member 1 (PHLDA1)	5971.0
Hs~MGC:BC002914.1~uORF:IOH5733	WAS/WASL-interacting protein family member 1	5936.0
Hs~Ref:NM_002642.1~uORF:IOH14889	Phosphatidylinositol N-acetylglucosaminyltransferase subunit C	5737.0
Hs~Ref:NM_005335.3~uORF:IOH57089	Hematopoietic lineage cell-specific protein	5641.5
Hs~MGC:BC017114.1~uORF:IOH9995	oligonucleotide/oligosaccharide-binding fold containing 2A (OBFC2A)	5324.0
Hs~Ref:NM_015891.2~uORF:IOH44384	cell division cycle 40 homolog (S. cerevisiae) (CDC40)	5235.0
Hs~Ref:XM_371311.3~uORF:IOH42993	PREDICTED: Homo sapiens hypothetical protein FLJ36032 (FLJ36032)	5181.0
Hs~MGC:BC028006.1~uORF:IOH11573	inducible T-cell co-stimulator (ICOS)	5171.5
Hs~Ref:NM_206909.1~uORF:IOH43255	pleckstrin and Sec7 domain containing 3 (PSD3), transcript variant 2	5127.0
Hs~MGC:BC033159.1~uORF:IOH23223	DnaJ (Hsp40) homolog, subfamily C, member 8 (DNAJC8)	5104.0
Hs~MGC:BC004292.1~uORF:IOH22899	PHD finger protein 15 (PHF15)	4836.0
Hs~Ref:NM_133265.2~uORF:IOH38152	angiomotin (AMOT)	4818.0
Hs~MGC:BC029560.1~uORF:IOH21582	vacuolar protein sorting 53 homolog (S. cerevisiae) (VPS53)	4797.5
Hs~Ref:NM_012321.1~uORF:IOH3488	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae) (LSM4)	4794.0
Hs~Ref:NM_016648.1~uORF:IOH41297	La ribonucleoprotein domain family, member 7 (LARP7), transcript variant 1	4755.0
Hs~MGC:BC009055.1~uORF:IOH3376	Protein FAM184A	4657.5
Hs~MGC:BC014298.1~uORF:IOH13449	PRKR interacting protein 1 (IL11 inducible) (PRKRIP1)	4657.0
Hs~MGC:BC073841.1~uORF:IOH61759	Kinesin light chain 3	4635.0
Hs~MGC:BC020233.1~uORF:IOH14752	cDNA clone MGC:31936 IMAGE:4765518, complete cds	4630.5
Hs~Ref:NM_004853.1~uORF:IOH9940	syntaxin 8 (STX8)	4615.5
Hs~MGC:BC032347.1~uORF:IOH21704	chromosome 8 open reading frame 59 (C8orf59)	4573.5
Hs~Ref:NM_016303.1~uORF:IOH27824	WW domain binding protein 5 (WBP5), transcript variant 1	4495.0
Hs~MGC:BC002519.2~uORF:IOH62827	Bifunctional polynucleotide phosphatase/kinase	4480.0
Hs~MGC:BC048299.1~uORF:IOH26615	spermatogenesis associated, serine-rich 2 (SPATS2)	4408.0
Hs~Ref:NM_012472.1~uORF:IOH26570	leucine rich repeat containing 6 (LRRC6)	4390.5
Hs~MGC:BC002448.2~uORF:IOH4300	actin binding LIM protein 1 (ABLIM1)	4369.0
Hs~Ref:NM_017451.1~uORF:IOH42068	BAI1-associated protein 2 (BAIAP2), transcript variant 2	4336.0
Hs~MGC:BC059174.1~uORF:IOH28851	TRAF3-interacting protein 1	4212.5
Hs~Ref:NM_022756.2~uORF:IOH13235	Uncharacterized protein C1orf149	4169.5
Hs~Ref:NM_016077.1~uORF:IOH3153	peptidyl-tRNA hydrolase 2 (PTRH2), nuclear gene encoding mitochondrial protein	4155.5
Hs~MGC:BC009108.1~uORF:IOH10191	cDNA clone IMAGE:3451214 (MCM10)	4134.5
Hs~Ref:NM_017772.2~uORF:IOH42187	TBC1 domain family member 22B	4120.5
Hs~Ref:NM_001668.2~uORF:IOH36815	Aryl hydrocarbon receptor nuclear translocator	4115.0
Hs~MGC:BC002733.2~uORF:IOH5365	chromosome 1 open reading frame 77 (C1orf77)	4112.5
Hs~Ref:NM_005898.4~uORF:IOH46168	cell cycle associated protein 1 (CAPRIN1), transcript variant 1	4094.0
Hs~MGC:BC015514.1~uORF:IOH11731	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) (TFPI)	4036.5
Hs~Ref:NM_005663.2~uORF:IOH46152	Wolf-Hirschhorn syndrome candidate 2 (WHSC2)	4015.0
Hs~Ref:NM_032636.2~uORF:IOH4088	proline/serine-rich coiled-coil 1 (PSRC1), transcript variant 1	3988.0
Hs~Ref:NM_032141.1~uORF:IOH43707	coiled-coil domain containing 55 (CCDC55), transcript variant 1	3945.0
Hs~Ref:NM_002822.3~uORF:IOH40883	twinfilin, actin-binding protein, homolog 1 (Drosophila) (TWF1)	3885.0
Hs~MGC:BC022098.1~uORF:IOH14790	cDNA clone MGC:31944 IMAGE:4878869, complete cds	3879.0
Hs~MGC:BC031564.1~uORF:IOH22698	chromosome 11 open reading frame 75 (C11orf75)	3875.0
Hs~MGC:BC036056.1~uORF:IOH27184	Fanconi anemia, complementation group M (FANCM)	3870.5
Hs~Ref:NM_014763.2~uORF:IOH23003	mitochondrial ribosomal protein L19 (MRPL19), nuclear gene encoding mitochondrial protein	3832.0
Hs~Ref:NM_080600.1~uORF:IOH38014	myelin associated glycoprotein (MAG), transcript variant 2	3722.5
Hs~Ref:NM_004143.2~uORF:IOH5542	Cbp/p300-interacting transactivator 1	3708.0
Hs~MGC:BC003049.1~uORF:IOH4999	SERPINE1 mRNA binding protein 1 (SERBP1)	3669.0
Hs~MGC:BC059947.1~uORF:IOH39895	chondrosarcoma associated gene 1 (CSAG1)	3654.5
Hs~Ref:NM_005030.2~uORF:IOH5070	polo-like kinase 1 (Drosophila) (PLK1)	3559.0
Hs~Ref:NM_199328.1~uORF:IOH12281	claudin 8 (CLDN8)	3546.5
Hs~Ref:NM_201998.1~uORF:IOH56887	Splicing factor 1	3524.0
Hs~Ref:NM_021627.2~uORF:IOH26311	SUMO1/sentrin/SMT3 specific peptidase 2 (SENP2)	3517.0
Hs~Ref:NM_004527.2~uORF:IOH40231	mesenchyme homeobox 1 (MEOX1), transcript variant 1	3496.5
Hs~Ref:NM_199124.1~uORF:IOH43439	chromosome 11 open reading frame 63 (C11orf63), transcript variant 2	3494.0
Hs~MGC:BC034141.1~uORF:IOH23179	immunoglobulin kappa constant (IGKC)	3492.5
Hs~MGC:BC029444.1~uORF:IOH23178	immunoglobulin kappa constant (IGKC)	3435.5
Hs~MGC:BC032851.2~uORF:IOH27168	Cas-Br-M (murine) ecotropic retroviral transforming sequence b (CBLB)	3402.0
Hs~Ref:NM_001008660.1~uORF:IOH39850	phosphatidylinositol binding clathrin assembly protein (PICALM), transcript variant 2	3380.5
Hs~MGC:BC005332.1~uORF:IOH7177	cDNA clone MGC:12418 IMAGE:3934658, complete cds	3356.5
Hs~Ref:NM_006479.2~uORF:IOH7384	RAD51 associated protein 1 (RAD51AP1)	3335.0
Hs~Ref:NM_014481.2~uORF:IOH4887	APEX nuclease (apurinic/apyrimidinic endonuclease) 2 (APEX2), nuclear gene encoding mitochondrial protein	3322.0
Hs~MGC:BC016330.1~uORF:IOH14709	RAD51 associated protein 1 (RAD51AP1)	3249.0
Hs~Ref:NM_015509.2~uORF:IOH43513	NECAP endocytosis associated 1 (NECAP1)	3242.5
Hs~Ref:NM_005517.2~uORF:IOH40568	high-mobility group nucleosomal binding domain 2 (HMGN2)	3241.5
Hs~Ref:NM_020317.2~uORF:IOH4823	chromosome 1 open reading frame 63 (C1orf63)	3235.0
Hs~Ref:NM_033259.1~uORF:IOH42049	calcium/calmodulin-dependent protein kinase II inhibitor 2 (CAMK2N2)	3200.5
Hs~Ref:NM_006628.4~uORF:IOH3044	cyclic AMP phosphoprotein, 19 kD (ARPP-19)	3193.5
Hs~MGC:BC022344.1~uORF:IOH14799	twinfilin, actin-binding protein, homolog 1 (Drosophila) (TWF1)	3170.5
Hs~MGC:BC031637.1~uORF:IOH22785	ubiquitin-activating enzyme E1-like 2 (UBE1L2)	3147.0
Hs~Ref:NM_000359.1~uORF:IOH22155	transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase) (TGM1)	3139.0
Hs~MGC:BC094800.1~uORF:IOH62619	Jouberin	3132.5
Hs~Ref:NM_005022.2~uORF:IOH58967	Profilin-1	3096.5
Hs~MGC:BC011781.2~uORF:IOH13131	chromosome 9 open reading frame 37 (C9orf37)	3074.5
Hs~MGC:BC033856.1~uORF:IOH21797	La ribonucleoprotein domain family, member 1 (LARP1)	3063.0
Hs~MGC:BC040020.2~uORF:IOH26263	zinc finger protein 280B (SUHW2)	3058.0
Hs~Ref:NM_001022.3~uORF:IOH4572	ribosomal protein S19 (RPS19)	3041.5
Hs~MGC:BC002955.1~uORF:IOH4931	ubiquitin specific peptidase 2 (USP2)	3038.5
Hs~Ref:NM_172160.1~uORF:IOH35727	potassium voltage-gated channel, shaker-related subfamily, beta member 1 (KCNAB1), transcript variant 1	3008.5
Hs~Ref:NM_032140.1~uORF:IOH6250	chromosome 16 open reading frame 48 (C16orf48)	2968.0
Hs~Ref:NM_032017.1~uORF:IOH40615	serine/threonine kinase 40 (STK40)	2956.0
Hs~MGC:BC003549.1~uORF:IOH4987	enoyl Coenzyme A hydratase domain containing 1 (ECHDC1)	2937.5
Hs~MGC:BC002374.1~uORF:IOH3595	karyopherin alpha 1 (importin alpha 5) (KPNA1)	2922.5
Hs~MGC:BC000770.1~uORF:IOH4688	death inducer-obliterator 1 (DIDO1)	2914.5
Hs~Ref:NM_021630.4~uORF:IOH57204	PDZ and LIM domain protein 2	2911.5
Hs~MGC:BC014667.1~uORF:IOH14303	immunoglobulin heavy constant gamma 1 (G1m marker) (IGHG1)	2899.5
Hs~Ref:NM_002476.2~uORF:IOH1793	myosin, light chain 4, alkali; atrial, embryonic (MYL4), transcript variant 2	2880.5
Hs~MGC:BC093051.1~uORF:IOH63174	Nuclear protein Hcc-1	2862.5
Hs~Ref:NM_022822.1~uORF:IOH22120	kinesin light chain 2 (KLC2)	2846.5
Hs~Ref:NM_207350.1~uORF:IOH40748	similar to FRG1 protein (FSHD region gene 1 protein) (MGC72104)	2836.5
Hs~N/A:NM_002745.2~CAT:PV3314	Mitogen-activated protein kinase 1; see catalog number for detailed information on wild-type or point mutant status	2826.0
Hs~MGC:BC033708.1~uORF:IOH21753	Ral GEF with PH domain and SH3 binding motif 1 (RALGPS1)	2824.0
Hs~MGC:BC016929.1~uORF:IOH11225	MHC class I polypeptide-related sequence A (MICA)	2822.0
Hs~MGC:BC094719.1~uORF:IOH62673	Rho GTPase-activating protein 12	2813.0
Hs~Ref:NM_005371.2~uORF:IOH4172	methyltransferase like 1 (METTL1), transcript variant 1	2777.5
Hs~Ref:NM_024057.2~uORF:IOH40191	nucleoporin 37kDa (NUP37)	2774.5
Hs~Ref:NM_001752.2~uORF:IOH41295	catalase (CAT)	2771.0
Hs~MGC:BC041366.2~uORF:IOH27747	ubiquitin specific peptidase 2 (USP2)	2761.0
Hs~MGC:BC013009.1~uORF:IOH13110	zinc finger, MYM-type 3 (ZMYM3)	2758.5
Hs~MGC:BC033792.1~uORF:IOH21794	tumor protein D52-like 3 (TPD52L3)	2755.5
Hs~Ref:NM_002364.1~uORF:IOH11315	melanoma antigen family B, 2 (MAGEB2)	2732.5
Hs~Ref:NM_032324.1~uORF:IOH6602	chromosome 1 open reading frame 57 (C1orf57)	2729.0
Hs~Ref:NM_001207.2~uORF:IOH5823	basic transcription factor 3 (BTF3), transcript variant 2	2728.0
Hs~Ref:NM_014280.1~uORF:IOH42939	DnaJ homolog subfamily C member 8	2649.0
Hs~Ref:NM_021168.2~uORF:IOH40188	RAB40C, member RAS oncogene family (RAB40C)	2647.0
Hs~Ref:NM_024591.1~uORF:IOH13020	chromatin modifying protein 6 (CHMP6)	2645.0
Hs~MGC:BC008892.1~uORF:IOH6264	aldehyde dehydrogenase 3 family, memberA1 (ALDH3A1)	2644.0
Hs~Ref:NM_001002269.1~uORF:IOH59989	Exosome complex exonuclease RRP40	2643.0
Hs~MGC:BC052805.1~uORF:IOH29378	erythrocyte membrane protein band 4.9 (dematin) (EPB49)	2608.0
Hs~Ref:NM_003690.3~uORF:IOH57108	Interferon-inducible double stranded RNA-dependent protein kinase activator A	2606.0
Hs~MGC:BC047733.1~uORF:IOH26736	tRNA aspartic acid methyltransferase 1 (TRDMT1)	2605.5
Hs~MGC:BC031650.1~uORF:IOH22742	Putative E3 ubiquitin-protein ligase SH3RF2	2596.0
Hs~MGC:BC017202.2~uORF:IOH57138	Isovaleryl-CoA dehydrogenase, mitochondrial	2593.0
Hs~MGC:BC040949.1~uORF:IOH26268	myocyte enhancer factor 2D (MEF2D)	2580.0
Hs~Ref:NM_004281.2~uORF:IOH6609	BCL2-associated athanogene 3 (BAG3)	2552.0
Hs~MGC:BC022571.1~uORF:IOH22219	prune homolog 2 (Drosophila) (PRUNE2)	2548.5
Hs~MGC:BC029424.1~uORF:IOH23140	Probable glutathione peroxidase 8	2548.0
Hs~Ref:NM_024093.1~uORF:IOH3089	chromosome 2 open reading frame 49 (C2orf49)	2530.5
Hs~Ref:NM_001381.2~uORF:IOH2343	docking protein 1, 62kDa (downstream of tyrosine kinase 1) (DOK1)	2528.5
Hs~MGC:BC019337.1~uORF:IOH12297	immunoglobulin heavy constant gamma 1 (G1m marker) (IGHG1)	2497.0
Hs~MGC:BC002488.1~uORF:IOH3970	SERPINE1 mRNA binding protein 1 (SERBP1)	2494.0
Hs~Ref:NM_003321.3~uORF:IOH4865	Tu translation elongation factor, mitochondrial (TUFM)	2492.0
Hs~MGC:BC000712.1~uORF:IOH4703	kinesin family member C1 (KIFC1)	2489.5
Hs~Ref:NM_005734.1~N/A	homeodomain interacting protein kinase 3 (HIPK3), transcript variant 1	2459.5
Hs~Ref:NM_012289.2~uORF:IOH5732	Kelch-like ECH-associated protein 1	2443.5
Hs~MGC:NM_152301.3~uORF:IOH3274	MORF4 family-associated protein 1-like 1	2440.5
Hs~Ref:NM_001009880.1~uORF:IOH42078	chromosome 22 open reading frame 9 (C22orf9), transcript variant 2	2386.5
Hs~Ref:NM_016449.2~uORF:IOH29060	hypothetical protein LOC51233 (LOC51233)	2375.5
Hs~Ref:NM_001325.1~uORF:IOH11230	cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa (CSTF2)	2374.0
Hs~MGC:NM_198395.1~uORF:IOH7337	GTPase activating protein (SH3 domain) binding protein 1 (G3BP1), transcript variant 2	2370.5
Hs~MGC:BC026039.1~uORF:IOH40656	mitochondrial GTPase 1 homolog (S. cerevisiae) (MTG1)	2364.5
Hs~MGC:BC001149.1~uORF:IOH4457	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast) (UTP14A)	2349.5
Hs~Ref:NM_005151.2~uORF:IOH5002	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase) (USP14), transcript variant 1	2344.5
Hs~Ref:NM_002930.1~uORF:IOH54792	GTP-binding protein Rit2	2344.0
Hs~Ref:NM_007030.1~uORF:IOH43477	tubulin polymerization promoting protein (TPPP)	2337.0
Hs~MGC:BC017959.1~uORF:IOH12310	chromosome 2 open reading frame 47 (C2orf47)	2335.0
Hs~Ref:NM_006640.2~uORF:IOH12164	septin 9 (SEPT9)	2318.0
Hs~MGC:BC029524.1~uORF:IOH22562	Coiled-coil domain-containing protein 46	2310.5
Hs~MGC:BC000044.1~uORF:IOH4604	Spindlin-2B	2302.0
Hs~Ref:NM_003868.1~uORF:IOH42157	fibroblast growth factor 16 (FGF16)	2296.0
Hs~Ref:NM_001017417.1~uORF:IOH54734	cancer/testis antigen family 45, member A1 (CT45A1), mRNA.	2288.0
Hs~Ref:NM_001030002.1~uORF:IOH55430	Growth factor receptor-bound protein 7	2284.0
Hs~Ref:NM_006012.2~uORF:IOH4910	Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial	2271.0
Hs~MGC:BC009253.1~uORF:IOH13411	ATP-binding cassette, sub-family F (GCN20), member 3 (ABCF3)	2267.0
Hs~Ref:NM_005259.1~uORF:IOH44374	myostatin (MSTN)	2259.0
Hs~Ref:NM_018326.1~uORF:IOH14251	GTPase, IMAP family member 4 (GIMAP4)	2244.5
Hs~MGC:BC053594.1~uORF:IOH28968	proline-rich transmembrane protein 2 (PRRT2)	2231.0
Hs~MGC:BC033230.1~uORF:IOH23262	zinc finger protein 808 (ZNF808)	2226.0
Hs~Ref:NM_139355.1~uORF:IOH4506	megakaryocyte-associated tyrosine kinase (MATK), transcript variant 1	2225.5
Hs~Ref:NM_022101.1~uORF:IOH27781	chromosome X open reading frame 56 (CXorf56)	2225.0
Hs~MGC:BC062338.1~uORF:IOH40690	SET binding protein 1 (SETBP1)	2225.0
Hs~MGC:BC016057.1~uORF:IOH12761	Usher syndrome 1C (autosomal recessive, severe) (USH1C)	2219.0
Hs~Ref:NM_004637.5~uORF:IOH40569	Ras-related protein Rab-7a	2214.0
Hs~MGC:NM_178152.1~uORF:IOH20954	Neuronal migration protein doublecortin	2210.5
Hs~MGC:BC017020.1~uORF:IOH10629	single-stranded DNA binding protein 2 (SSBP2)	2210.0
Hs~Ref:NM_017612.1~uORF:IOH11180	Zinc finger CCHC domain-containing protein 8	2204.0
Hs~Ref:NM_138794.1~uORF:IOH13353	lysophospholipase-like 1 (LYPLAL1)	2199.5
Hs~MGC:NM_181707.1~uORF:IOH26565	chromosome 17 open reading frame 64 (C17orf64)	2195.0
Hs~Ref:NM_024946.1~uORF:IOH10395	NEFA-interacting nuclear protein NIP30 (NIP30)	2191.0
Hs~Ref:NM_002738.5~uORF:IOH22061	protein kinase C, beta 1 (PRKCB1), transcript variant 2	2189.0
Hs~Ref:NM_006449.2~uORF:IOH12552	CDC42 effector protein (Rho GTPase binding) 3 (CDC42EP3)	2187.0
Hs~Ref:NM_012117.1~uORF:IOH3162	chromobox homolog 5 (HP1 alpha homolog, Drosophila) (CBX5)	2184.5
Hs~Ref:NM_018664.1~uORF:IOH44746	Jun dimerization protein p21SNFT (SNFT)	2181.5
Hs~Ref:NM_007285.5~uORF:IOH7450	GABA(A) receptor-associated protein-like 2 (GABARAPL2)	2174.5
Hs~Ref:NM_198216.1~uORF:IOH44674	small nuclear ribonucleoprotein polypeptides B and B1 (SNRPB), transcript variant 1, mRNA.	2170.5
Hs~Ref:NM_004217.1~N/A	aurora kinase B (AURKB)	2169.5
Hs~Ref:NM_148910.1~uORF:IOH42286	Toll/interleukin-1 receptor domain-containing adapter protein	2162.0
Hs~MGC:BC026101.2~uORF:IOH10652	nudE nuclear distribution gene E homolog (A. nidulans)-like 1 (NDEL1)	2161.5
Hs~Ref:NM_018457.1~uORF:IOH23026	proline rich 13 (PRR13), transcript variant 2	2159.5
Hs~MGC:BC007346.2~uORF:IOH7023	Uncharacterized protein C16orf14	2155.5
Hs~Ref:NM_006298.2~uORF:IOH34757	zinc finger protein 192 (ZNF192)	2154.5
Hs~MGC:BC009877.1~uORF:IOH12614	P2Y purinoceptor 11	2150.0
Hs~MGC:BC064391.1~uORF:IOH61736	Coiled-coil domain-containing protein 6	2141.0
Hs~MGC:NM_182756.1~uORF:IOH26877	speedy homolog A (Drosophila) (SPDYA), transcript variant 2	2132.5
Hs~Ref:NM_145252.1~uORF:IOH9864	similar to common salivary protein 1 (LOC124220)	2125.0
Hs~Ref:NM_006590.2~uORF:IOH45672	ubiquitin specific peptidase 39 (USP39)	2122.5
Hs~MGC:NM_173605.1~uORF:IOH21690	potassium channel regulator (KCNRG), transcript variant 1	2117.0
Hs~Ref:NM_005435.2~uORF:IOH14526	Rho guanine nucleotide exchange factor (GEF) 5 (ARHGEF5)	2109.0
Hs~Ref:NM_205853.1~uORF:IOH43061	musculoskeletal, embryonic nuclear protein 1 (MUSTN1)	2100.5
Hs~Ref:NM_006105.3~uORF:IOH11287	Rap guanine nucleotide exchange factor 3	2095.5
Hs~Ref:NM_004503.2~uORF:IOH42979	homeobox C6 (HOXC6), transcript variant 1	2085.5
Hs~Ref:NM_020133.1~uORF:IOH12573	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta) (AGPAT4)	2079.5
Hs~Ref:NM_003302.1~uORF:IOH5518	thyroid hormone receptor interactor 6 (TRIP6)	2077.5
Hs~MGC:BC030814.1~uORF:IOH23035	immunoglobulin kappa variable 1-5 (IGKV1-5)	2074.0
Hs~Ref:NM_006800.2~uORF:IOH45528	male-specific lethal 3-like 1 (Drosophila) (MSL3L1), transcript variant 3	2063.0
Hs~Ref:NM_002003.2~uORF:IOH13613	Ficolin-1	2057.0
Hs~MGC:BC029796.1~uORF:IOH22647	hypothetical protein BC014011 (LOC116349)	2057.0
Hs~Ref:NM_012325.1~uORF:IOH41294	microtubule-associated protein, RP/EB family, member 1 (MAPRE1)	2051.0
Hs~MGC:BC015738.1~uORF:IOH14824	Zinc finger FYVE domain-containing protein 19	2040.0
Hs~MGC:NM_174942.1~uORF:IOH26291	GAS2-like protein 3	2003.5
Hs~MGC:BC008407.1~uORF:IOH7438	tropomyosin 3 (TPM3)	1985.0
Hs~Ref:NM_057749.1~uORF:IOH43526	cyclin E2 (CCNE2)	1984.5
Hs~Ref:NM_006838.1~uORF:IOH11106	methionyl aminopeptidase 2 (METAP2)	1972.0
Hs~MGC:BC011454.1~uORF:IOH9647	angiomotin like 2 (AMOTL2)	1962.0
Hs~Ref:NM_180699.1~uORF:IOH44651	small nuclear ribonucleoprotein 35kDa (U11/U12) (SNRNP35), transcript variant 3, mRNA.	1955.5
Hs~Ref:NM_005884.2~N/A	p21(CDKN1A)-activated kinase 4 (PAK4), transcript variant 1	1954.0
Hs~MGC:BC025406.1~uORF:IOH11226	phosphodiesterase 4D interacting protein (myomegalin) (PDE4DIP)	1948.0
Hs~MGC:BC001755.1~uORF:IOH4451	Leiomodin-1	1939.5
Hs~Ref:NM_015289.2~uORF:IOH40537	vacuolar protein sorting 39 homolog (S. cerevisiae) (VPS39)	1938.5
Hs~Ref:NM_002401.2~N/A	Mitogen-activated protein kinase kinase kinase 3	1932.0
Hs~Ref:NM_022827.2~uORF:IOH12469	spermatogenesis associated 20 (SPATA20)	1931.0
Hs~Ref:NM_032042.2~uORF:IOH11050	chromosome 5 open reading frame 21 (C5orf21)	1930.5
Hs~MGC:NM_176791.2~uORF:IOH26363	family with sequence similarity 112, member A (FAM112A), transcript variant 1	1921.5
Hs~MGC:BC034954.2~uORF:IOH26830	nucleosome assembly protein 1-like 3 (NAP1L3)	1919.5
Hs~Ref:NM_007360.1~uORF:IOH26288	killer cell lectin-like receptor subfamily K, member 1 (KLRK1)	1917.5
Hs~Ref:NM_006591.1~uORF:IOH41599	polymerase (DNA-directed), delta 3, accessory subunit (POLD3)	1917.0
Hs~Ref:NM_005390.1~uORF:IOH22280	pyruvate dehydrogenase (lipoamide) alpha 2 (PDHA2)	1916.5
Hs~Ref:NM_001715.2~uORF:IOH57009	B lymphoid tyrosine kinase (BLK)	1913.0
Hs~Ref:NM_032855.1~uORF:IOH14623	hematopoietic SH2 domain containing (HSH2D)	1911.5
Hs~Ref:NM_016508.2~uORF:IOH21339	Cyclin-dependent kinase-like 3	1911.0
Hs~Ref:NM_001039724.1~uORF:IOH63165	Nostrin	1904.5
